Mean Overscan Level (ADU),Detector,Amp,Run,READTIME setting,exp_id
26851.69572094572,R12_S12,C17,13040,2.232,3021111600218
26444.4345006845,R12_S12,C07,13040,2.232,3021111600218
26698.778388278388,R12_S12,C06,13040,2.232,3021111600218
26861.75209050209,R12_S12,C05,13040,2.232,3021111600218
26797.1349021349,R12_S12,C04,13040,2.232,3021111600218
26679.28896103896,R12_S12,C03,13040,2.232,3021111600218
26787.668812668813,R12_S12,C02,13040,2.232,3021111600218
26645.887408887407,R12_S12,C01,13040,2.232,3021111600218
26935.113821363822,R12_S12,C00,13040,2.232,3021111600218
26733.553224553223,R12_S12,C10,13040,2.232,3021111600219
26810.274725274725,R12_S12,C11,13040,2.232,3021111600219
26614.591695341696,R12_S12,C12,13040,2.232,3021111600219
26429.17636992637,R12_S12,C13,13040,2.232,3021111600219
26881.891053391053,R12_S12,C14,13040,2.232,3021111600219
26569.652208902207,R12_S12,C15,13040,2.232,3021111600219
26921.99224849225,R12_S12,C16,13040,2.232,3021111600219
26852.103785103784,R12_S12,C17,13040,2.232,3021111600219
26444.483303733305,R12_S12,C07,13040,2.232,3021111600219
26698.649285899286,R12_S12,C06,13040,2.232,3021111600219
26861.890220890222,R12_S12,C05,13040,2.232,3021111600219
26796.71446146446,R12_S12,C04,13040,2.232,3021111600219
26679.83288933289,R12_S12,C03,13040,2.232,3021111600219
26787.914132164133,R12_S12,C02,13040,2.232,3021111600219
26646.14012839013,R12_S12,C01,13040,2.232,3021111600219
26935.363747363746,R12_S12,C00,13040,2.232,3021111600219
26733.43957893958,R12_S12,C10,13040,2.232,3021111600220
26809.89972989973,R12_S12,C11,13040,2.232,3021111600220
26615.31921781922,R12_S12,C12,13040,2.232,3021111600220
26429.305259555258,R12_S12,C13,13040,2.232,3021111600220
26881.933853183855,R12_S12,C14,13040,2.232,3021111600220
26569.411754911755,R12_S12,C15,13040,2.232,3021111600220
26922.292244792246,R12_S12,C16,13040,2.232,3021111600220
26852.00075850076,R12_S12,C17,13040,2.232,3021111600220
26444.070596070596,R12_S12,C07,13040,2.232,3021111600220
26698.577653827655,R12_S12,C06,13040,2.232,3021111600220
26862.1070966071,R12_S12,C05,13040,2.232,3021111600220
26797.96151996152,R12_S12,C04,13040,2.232,3021111600220
26679.7342009842,R12_S12,C03,13040,2.232,3021111600220
26788.29994079994,R12_S12,C02,13040,2.232,3021111600220
26646.372183372183,R12_S12,C01,13040,2.232,3021111600220
26935.175306175308,R12_S12,C00,13040,2.232,3021111600220
26733.166222666223,R12_S12,C10,13040,2.232,3021111600221
26810.589401339403,R12_S12,C11,13040,2.232,3021111600221
26615.334831834833,R12_S12,C12,13040,2.232,3021111600221
26429.066304066306,R12_S12,C13,13040,2.232,3021111600221
26882.690883190884,R12_S12,C14,13040,2.232,3021111600221
26569.958032708033,R12_S12,C15,13040,2.232,3021111600221
26922.300791800793,R12_S12,C16,13040,2.232,3021111600221
26852.046314796316,R12_S12,C17,13040,2.232,3021111600221
26444.11963036963,R12_S12,C07,13040,2.232,3021111600221
26698.270979020977,R12_S12,C06,13040,2.232,3021111600221
26862.012755762757,R12_S12,C05,13040,2.232,3021111600221
26797.471602471604,R12_S12,C04,13040,2.232,3021111600221
26679.83242683243,R12_S12,C03,13040,2.232,3021111600221
26788.364542864543,R12_S12,C02,13040,2.232,3021111600221
26646.21326821327,R12_S12,C01,13040,2.232,3021111600221
26935.037656787656,R12_S12,C00,13040,2.232,3021111600221
26733.6782014282,R12_S12,C10,13040,2.232,3021111600222
26810.838124838127,R12_S12,C11,13040,2.232,3021111600222
26615.26995226995,R12_S12,C12,13040,2.232,3021111600222
26429.198514448515,R12_S12,C13,13040,2.232,3021111600222
26882.806684056683,R12_S12,C14,13040,2.232,3021111600222
26570.164326414328,R12_S12,C15,13040,2.232,3021111600222
26922.305037555037,R12_S12,C16,13040,2.232,3021111600222
26852.14368039368,R12_S12,C17,13040,2.232,3021111600222
26444.972925222926,R12_S12,C07,13040,2.232,3021111600222
26698.906722906722,R12_S12,C06,13040,2.232,3021111600222
